Standard,ng/rxn,fg/rxn,Log10(fg/rxn),Dre_16S,Dre_H2B,Dro_COI,Dro_tr
Dro_Std1,10,10000000,7,18.069,16.760,18.779,14.385
Dro_Std1,10,10000000,7,17.855,16.665,18.571,14.400
Dro_Std1,10,10000000,7,17.897,16.733,18.562,14.550
Dro_Std2,1,1000000,6,21.227,20.230,21.983,17.712
Dro_Std2,1,1000000,6,21.146,20.435,21.913,17.679
Dro_Std2,1,1000000,6,21.222,20.234,21.805,17.691
Dro_Std3,0.1,100000,5,24.535,23.831,25.588,21.170
Dro_Std3,0.1,100000,5,24.427,23.912,25.325,21.116
Dro_Std3,0.1,100000,5,24.485,23.946,24.912,21.369
Dro_Std4,0.01,10000,4,27.860,27.469,28.719,24.576
Dro_Std4,0.01,10000,4,28.408,27.643,28.736,24.560
Dro_Std4,0.01,10000,4,28.198,27.574,28.561,24.603
Dro_Std5,0.001,1000,3,31.199,30.524,32.000,27.945
Dro_Std5,0.001,1000,3,32.017,30.837,32.030,27.892
Dro_Std5,0.001,1000,3,31.103,31.670,32.730,28.065
Dro_Std6,0.0001,100,2,Und,33.249,Und,29.764
Dro_Std6,0.0001,100,2,34.457,Und,35.436,31.047
Dro_Std6,0.0001,100,2,33.452,33.277,Und,31.858
Dro_Std7,0.00001,10,1,Und,Und,Und,Und
Dro_Std7,0.00001,10,1,Und,Und,Und,Und
Dro_Std7,0.00001,10,1,Und,Und,Und,33.312
