WLE Cq values,Dro_COI,Dro_tr,Dpo_COI,Dpo_tr,Dre_16S,Dre_H2B
Std2,21.748,17.313,23.977,17.051,20.753,20.295
Std2,21.809,17.209,23.810,16.969,20.726,19.715
Std3,25.203,20.746,27.266,20.478,24.157,23.431
Std3,25.232,20.644,27.425,20.437,24.384,23.648
Std4,28.777,23.811,31.407,24.221,27.677,27.489
Std4,28.686,23.832,31.120,24.159,28.068,27.991
WLE4P_A,24.526,19.453,32.933,28.888,23.680,21.689
WLE4P_B,23.741,18.869,34.544,29.688,22.831,21.360
WLE4P_C,23.993,18.962,35.111,28.697,23.106,21.383
WLE2L_A,25.239,19.822,36.996,30.017,24.323,21.308
WLE2L_B,24.956,20.206,37.211,30.398,24.351,21.490
WLE2L_C,26.420,20.646,40,32.781,25.513,22.765
WLE4R_A,25.545,20.552,32.401,27.246,24.582,21.919
WLE4R_B,28.822,23.367,32.106,27.040,27.131,24.044
WLE4R_C,26.676,21.043,32.420,26.844,25.632,22.674
WLE7M_A,23.058,18.435,27.583,21.796,22.138,19.491
WLE7M_B,23.602,18.475,25.400,20.545,22.327,19.605
WLE7M_C,25.191,20.079,26.316,20.848,23.234,21.054
WLE8M_A,28.192,23.343,29.993,24.480,26.560,23.586
WLE8M_B,27.938,22.065,28.262,22.406,25.641,22.584
WLE8M_C,31.544,24.332,30.273,24.684,27.896,24.557
WLE3P_A,25.691,21.160,29.090,22.828,24.565,21.730
WLE3P_B,27.242,22.647,28.277,23.430,24.420,21.928
WLE3P_C,26.978,22.196,29.669,23.172,25.439,22.456
