WLE Expected log10(fg/ul),Dro_COI,Dro_tr,Dpo_COI,Dpo_tr,Dre_16S,Dre_H2B
Std2,6.059862119,6.164083715,6.056623407,6.084777807,6.160354054,6.021014578
Std2,6.041953735,6.196030463,6.1032786,6.108747698,6.168570254,6.190414585
Std3,5.041268223,5.113690082,5.134983184,5.076965372,5.127058671,5.105140231
Std3,5.032836415,5.144804451,5.090273872,5.089032214,5.058421099,5.041859189
Std4,3.987570565,4.175678019,3.974551613,3.975987176,4.058645287,3.920134446
Std4,4.014450573,4.169114139,4.055113564,3.994352762,3.940209161,3.77343503
WLE4P_A,5.240800394,5.509150885,3.547025261,2.603605437,5.27182693,5.613872175
WLE4P_B,5.472348132,5.688098782,3.095571141,2.368328376,5.529632777,5.709862876
WLE4P_C,5.398089742,5.659625142,2.93671004,2.659812846,5.446075553,5.703173453
WLE2L_A,5.030750252,5.396390484,2.408458536,2.271641064,5.076762236,5.724951115
WLE2L_B,5.114081482,5.278834276,2.348296007,2.159660969,5.068363673,5.672006651
WLE2L_C,4.682535981,5.14419155,0,1.458608958,4.715492018,5.299639217
WLE4R_A,4.940554929,5.173039352,3.696177797,3.086471528,4.998139248,5.546529022
WLE4R_B,3.974311905,4.311509774,3.778797327,3.146989166,4.22452603,4.926139984
WLE4R_C,4.606992155,5.022778151,3.690866572,3.204778413,4.679368991,5.326258215
WLE7M_A,5.673680814,5.820700255,5.046131596,4.689330965,5.739892114,6.255716378
WLE7M_B,5.513249852,5.808530955,5.657868417,5.057159304,5.682753864,6.2224074
WLE7M_C,5.044861371,5.317731323,5.40116598,4.967970014,5.407269177,5.799181421
WLE8M_A,4.160075404,4.318795127,4.370932638,3.899906386,4.39774647,5.059820371
WLE8M_B,4.234923655,4.709844207,4.855909791,4.509930923,4.676792166,5.352367013
WLE8M_C,3.171910803,4.015965298,4.292311759,3.839817303,3.992426491,4.776191658
WLE3P_A,4.897547929,4.986912922,4.623904177,4.385830698,5.003251216,5.601733742
WLE3P_B,4.440215547,4.531614864,4.851640182,4.208638498,5.047306187,5.544026476
WLE3P_C,4.517893332,4.669661819,4.461481595,4.28472658,4.738117251,5.389847271
